Time,Displacement,Force,Strain,Stress,TKS
0,0,-0.21388,0,-0.02046,3.38
1,0.00156,0.25433,0.00046,0.02433,3.37844
2,0.00331,0.54762,0.00098,0.05238,3.37669
3,0.00506,0.93517,0.00149,0.08945,3.37494
4,0.00663,1.36171,0.00196,0.13024,3.37337
5,0.00831,1.50806,0.00245,0.14424,3.37169
6,0.01006,1.86698,0.00297,0.17857,3.36994
7,0.01169,2.35909,0.00345,0.22564,3.36831
8,0.01331,2.53689,0.00393,0.24265,3.36669
9,0.015,3.09678,0.00443,0.2962,3.365
10,0.01669,3.34221,0.00493,0.31968,3.36331
11,0.01838,3.89985,0.00542,0.37301,3.36162
12,0.01994,4.1321,0.00588,0.39523,3.36006
13,0.02169,4.77106,0.0064,0.45634,3.35831
14,0.02331,4.77796,0.00688,0.457,3.35669
15,0.02506,5.13725,0.0074,0.49137,3.35494
16,0.02662,5.96226,0.00786,0.57028,3.35338
17,0.02831,6.17935,0.00836,0.59104,3.35169
18,0.03006,6.5923,0.00887,0.63054,3.34994
19,0.03162,7.82134,0.00933,0.7481,3.34838
20,0.03344,8.34777,0.00987,0.79845,3.34656
21,0.03494,9.2824,0.01031,0.88784,3.34506
22,0.03669,9.23557,0.01083,0.88336,3.34331
23,0.03825,9.00681,0.01129,0.86148,3.34175
24,0.04006,9.37599,0.01182,0.89679,3.33994
25,0.04175,9.81456,0.01232,0.93874,3.33825
26,0.04325,10.25396,0.01277,0.98077,3.33675
27,0.04506,10.91665,0.0133,1.04416,3.33494
28,0.04662,11.33648,0.01376,1.08431,3.33338
29,0.04837,11.75016,0.01428,1.12388,3.33163
30,0.04994,12.32188,0.01474,1.17856,3.33006
31,0.05162,13.01193,0.01524,1.24457,3.32838
32,0.05338,13.42321,0.01575,1.2839,3.32662
33,0.05494,13.90271,0.01622,1.32977,3.32506
34,0.05675,14.61633,0.01675,1.39802,3.32325
35,0.05825,15.31493,0.01719,1.46484,3.32175
36,0.06006,15.74306,0.01773,1.50579,3.31994
37,0.06163,16.3757,0.01819,1.5663,3.31837
38,0.06331,16.89287,0.01869,1.61577,3.31669
39,0.06506,17.37675,0.0192,1.66205,3.31494
40,0.06656,17.65909,0.01965,1.68906,3.31344
41,0.06844,18.42542,0.0202,1.76235,3.31156
42,0.06994,18.91229,0.02064,1.80892,3.31006
43,0.07175,19.77091,0.02118,1.89105,3.30825
44,0.07325,20.24282,0.02162,1.93619,3.30675
45,0.07506,21.13994,0.02216,2.02199,3.30494
46,0.07675,21.40587,0.02265,2.04743,3.30325
47,0.07825,22.05095,0.0231,2.10913,3.30175
48,0.08006,22.9396,0.02363,2.19413,3.29994
49,0.08162,23.49354,0.02409,2.24711,3.29838
50,0.08344,24.40612,0.02463,2.3344,3.29656
51,0.08494,24.62909,0.02507,2.35572,3.29506
52,0.08669,25.2095,0.02559,2.41124,3.29331
53,0.08838,26.21994,0.02608,2.50788,3.29162
54,0.09,26.81505,0.02656,2.56481,3.29
55,0.09169,27.51524,0.02706,2.63178,3.28831
56,0.09331,28.49241,0.02754,2.72524,3.28669
57,0.09506,29.25979,0.02806,2.79864,3.28494
58,0.09663,29.62505,0.02852,2.83358,3.28337
59,0.09831,30.5537,0.02902,2.9224,3.28169
60,0.10006,31.49714,0.02953,3.01264,3.27994
61,0.10169,31.89561,0.03001,3.05075,3.27831
62,0.10331,32.29883,0.03049,3.08932,3.27669
63,0.10506,33.57096,0.03101,3.211,3.27494
64,0.10663,34.25274,0.03147,3.27621,3.27337
65,0.10837,35.06861,0.03199,3.35424,3.27163
66,0.10994,35.9518,0.03245,3.43872,3.27006
67,0.11175,36.821,0.03298,3.52186,3.26825
68,0.11338,37.76006,0.03346,3.61167,3.26662
69,0.11494,38.30199,0.03392,3.66351,3.26506
70,0.11675,39.15285,0.03446,3.74489,3.26325
71,0.11831,40.25288,0.03492,3.85011,3.26169
72,0.12006,40.95765,0.03544,3.91752,3.25994
73,0.12162,42.24899,0.0359,4.04103,3.25838
74,0.12338,42.966,0.03642,4.10961,3.25662
75,0.12506,44.02256,0.03691,4.21067,3.25494
76,0.12656,44.52148,0.03736,4.25839,3.25344
77,0.12844,45.48048,0.03791,4.35012,3.25156
78,0.12994,46.74129,0.03835,4.47071,3.25006
79,0.13169,47.86906,0.03887,4.57858,3.24831
80,0.13325,48.12083,0.03933,4.60266,3.24675
81,0.135,49.61547,0.03985,4.74562,3.245
82,0.13675,50.57824,0.04036,4.83771,3.24325
83,0.13825,51.57552,0.04081,4.9331,3.24175
84,0.14006,52.94524,0.04134,5.06411,3.23994
85,0.14163,53.49513,0.0418,5.1167,3.23837
86,0.14337,54.45153,0.04232,5.20818,3.23663
87,0.14494,55.38591,0.04278,5.29755,3.23506
88,0.14669,56.85429,0.0433,5.438,3.23331
89,0.14837,57.62402,0.04379,5.51162,3.23163
90,0.14994,58.78918,0.04426,5.62307,3.23006
91,0.15175,59.90852,0.04479,5.73013,3.22825
92,0.15331,61.1285,0.04525,5.84682,3.22669
93,0.15506,61.82043,0.04577,5.913,3.22494
94,0.15663,63.17011,0.04623,6.0421,3.22337
95,0.15838,64.4521,0.04675,6.16472,3.22162
96,0.16006,65.61811,0.04724,6.27624,3.21994
97,0.16163,66.64101,0.04771,6.37408,3.21837
98,0.16338,67.92522,0.04822,6.49691,3.21662
99,0.165,68.88167,0.0487,6.58839,3.215
100,0.16675,70.17163,0.04922,6.71178,3.21325
101,0.16825,71.41523,0.04966,6.83072,3.21175
102,0.17,72.57738,0.05018,6.94188,3.21
103,0.17169,73.77262,0.05068,7.0562,3.20831
104,0.17331,74.80601,0.05115,7.15505,3.20669
105,0.17506,76.23427,0.05167,7.29166,3.20494
106,0.17669,77.69346,0.05215,7.43122,3.20331
107,0.17838,79.24754,0.05265,7.57987,3.20162
108,0.18,80.08328,0.05313,7.65981,3.2
109,0.18162,81.6189,0.05361,7.80669,3.19838
110,0.18338,82.63602,0.05412,7.90397,3.19662
111,0.18506,84.01756,0.05462,8.03611,3.19494
112,0.18662,85.35318,0.05508,8.16386,3.19338
113,0.18837,86.94444,0.0556,8.31606,3.19163
114,0.19,89.49062,0.05608,8.5596,3.19
115,0.19169,89.80522,0.05658,8.58969,3.18831
116,0.19331,91.33572,0.05706,8.73608,3.18669
117,0.195,92.69091,0.05756,8.8657,3.185
118,0.19669,93.36523,0.05805,8.9302,3.18331
119,0.19825,95.04666,0.05852,9.09102,3.18175
120,0.20006,96.93352,0.05905,9.2715,3.17994
121,0.20163,98.11071,0.05951,9.38409,3.17837
122,0.20338,99.95773,0.06003,9.56076,3.17662
123,0.20494,100.65674,0.06049,9.62762,3.17506
124,0.20662,102.38963,0.06099,9.79336,3.17338
125,0.20838,103.97541,0.0615,9.94504,3.17162
126,0.20994,105.58939,0.06197,10.09942,3.17006
127,0.21175,106.92951,0.0625,10.2276,3.16825
128,0.21325,108.15112,0.06294,10.34444,3.16675
129,0.21506,110.14207,0.06348,10.53487,3.16494
130,0.21662,111.75653,0.06394,10.68929,3.16338
131,0.21831,113.62595,0.06444,10.8681,3.16169
132,0.22006,114.94279,0.06495,10.99405,3.15994
133,0.22156,116.86041,0.0654,11.17747,3.15844
134,0.22338,118.47736,0.06593,11.33212,3.15662
135,0.22494,119.85507,0.06639,11.4639,3.15506
136,0.22675,121.54112,0.06693,11.62517,3.15325
137,0.22825,123.22495,0.06737,11.78622,3.15175
138,0.23,124.83659,0.06789,11.94037,3.15
139,0.23169,126.80838,0.06838,12.12897,3.14831
140,0.23325,127.956,0.06885,12.23874,3.14675
141,0.23506,130.24147,0.06938,12.45734,3.14494
142,0.23663,131.43849,0.06984,12.57183,3.14337
143,0.23844,133.73993,0.07038,12.79196,3.14156
144,0.23994,135.18588,0.07082,12.93026,3.14006
145,0.24163,137.12247,0.07132,13.11549,3.13837
146,0.24337,138.88216,0.07183,13.2838,3.13663
147,0.24494,140.62355,0.0723,13.45036,3.13506
148,0.24675,142.52832,0.07283,13.63255,3.13325
149,0.24831,144.40385,0.07329,13.81194,3.13169
150,0.25006,146.3559,0.07381,13.99865,3.12994
151,0.25163,148.4697,0.07427,14.20083,3.12837
152,0.25331,150.52069,0.07477,14.39701,3.12669
153,0.25506,152.11334,0.07528,14.54934,3.12494
154,0.25669,154.04175,0.07576,14.73379,3.12331
155,0.25831,155.93658,0.07624,14.91502,3.12169
156,0.26006,158.04315,0.07676,15.11651,3.11994
157,0.26169,160.20563,0.07724,15.32335,3.11831
158,0.26331,161.96388,0.07772,15.49152,3.11669
159,0.26494,163.94748,0.0782,15.68125,3.11506
160,0.26669,165.91454,0.07872,15.8694,3.11331
161,0.26838,167.93861,0.07921,16.063,3.11162
162,0.26994,169.89691,0.07967,16.2503,3.11006
163,0.27175,172.12752,0.08021,16.46366,3.10825
164,0.27331,173.91069,0.08067,16.63421,3.10669
165,0.27506,176.5873,0.08119,16.89022,3.10494
166,0.27662,178.1676,0.08165,17.04138,3.10338
167,0.27831,180.51469,0.08215,17.26587,3.10169
168,0.28006,182.53703,0.08266,17.45931,3.09994
169,0.28163,185.03326,0.08312,17.69806,3.09837
170,0.28337,187.00461,0.08364,17.88662,3.09663
171,0.28494,189.52138,0.0841,18.12734,3.09506
172,0.28669,191.58345,0.08462,18.32458,3.09331
173,0.28825,194.09993,0.08508,18.56527,3.09175
174,0.29,195.9583,0.0856,18.74302,3.09
175,0.29175,198.33757,0.08611,18.9706,3.08825
176,0.29325,200.29544,0.08656,19.15786,3.08675
177,0.29506,203.02029,0.08709,19.41849,3.08494
178,0.29663,205.03847,0.08755,19.61152,3.08337
179,0.29838,207.63136,0.08807,19.85953,3.08162
180,0.29994,210.02316,0.08853,20.0883,3.08006
181,0.30163,212.06853,0.08903,20.28393,3.07837
182,0.30338,214.75545,0.08954,20.54093,3.07662
183,0.30488,217.07181,0.08999,20.76249,3.07512
184,0.30675,219.69986,0.09054,21.01386,3.07325
185,0.30825,221.69289,0.09098,21.20448,3.07175
186,0.31006,224.47426,0.09152,21.47052,3.06994
187,0.31156,226.64185,0.09196,21.67784,3.06844
188,0.31331,229.4084,0.09248,21.94246,3.06669
189,0.31506,231.78825,0.09299,22.17009,3.06494
190,0.31656,234.02234,0.09344,22.38377,3.06344
191,0.31844,236.98427,0.09399,22.66707,3.06156
192,0.31994,239.4017,0.09443,22.8983,3.06006
193,0.32175,242.13388,0.09497,23.15963,3.05825
194,0.32325,244.42056,0.09541,23.37834,3.05675
195,0.32494,247.09665,0.09591,23.6343,3.05506
196,0.32675,249.96458,0.09644,23.90862,3.05325
197,0.32825,252.0815,0.09689,24.1111,3.05175
198,0.33006,255.13741,0.09742,24.40339,3.04994
199,0.33163,257.60495,0.09788,24.6394,3.04837
200,0.33344,260.4711,0.09842,24.91354,3.04656
201,0.33494,263.0098,0.09886,25.15637,3.04506
202,0.33669,265.78448,0.09938,25.42176,3.04331
203,0.33838,268.83014,0.09987,25.71307,3.04162
204,0.34,271.08878,0.10035,25.9291,3.04
205,0.34169,274.28699,0.10085,26.23501,3.03831
206,0.34331,277.07053,0.10133,26.50125,3.03669
207,0.34506,279.85312,0.10185,26.7674,3.03494
208,0.34663,282.80051,0.10231,27.04931,3.03337
209,0.34831,285.39453,0.10281,27.29742,3.03169
210,0.35006,288.74551,0.10332,27.61794,3.02994
211,0.35169,290.96805,0.1038,27.83052,3.02831
212,0.35331,294.198,0.10428,28.13946,3.02669
213,0.35506,297.44879,0.1048,28.45039,3.02494
214,0.35663,300.03522,0.10526,28.69777,3.02337
215,0.35831,302.94028,0.10576,28.97564,3.02169
216,0.35994,305.47195,0.10624,29.21779,3.02006
217,0.36175,308.96487,0.10677,29.55188,3.01825
218,0.36338,311.94223,0.10725,29.83665,3.01662
219,0.36494,314.68417,0.10771,30.09892,3.01506
220,0.36669,318.16415,0.10823,30.43177,3.01331
221,0.36831,320.68381,0.10871,30.67277,3.01169
222,0.37,324.02658,0.10921,30.9925,3.01
223,0.37163,326.97388,0.10969,31.2744,3.00837
224,0.37338,330.14786,0.11021,31.57799,3.00662
225,0.37506,333.51419,0.1107,31.89997,3.00494
226,0.37656,336.54587,0.11115,32.18994,3.00344
227,0.37844,340.42722,0.1117,32.56119,3.00156
228,0.37994,342.95251,0.11214,32.80273,3.00006
229,0.38169,346.30704,0.11266,33.12358,2.99831
230,0.38325,349.43021,0.11312,33.42231,2.99675
231,0.38506,352.64316,0.11365,33.72962,2.99494
232,0.38675,356.01129,0.11415,34.05177,2.99325
233,0.38825,358.9151,0.1146,34.32952,2.99175
234,0.39006,362.51196,0.11513,34.67355,2.98994
235,0.39162,365.64673,0.11559,34.97338,2.98838
236,0.39338,369.27029,0.11611,35.31997,2.98662
237,0.39494,371.88806,0.11657,35.57035,2.98506
238,0.39669,375.73218,0.11709,35.93804,2.98331
239,0.39838,379.19223,0.11758,36.26898,2.98162
240,0.39994,381.85529,0.11805,36.5237,2.98006
241,0.40175,386.08734,0.11858,36.92849,2.97825
242,0.40325,389.1254,0.11902,37.21907,2.97675
243,0.40506,392.93338,0.11956,37.5833,2.97494
244,0.40663,395.86172,0.12002,37.86339,2.97337
245,0.40838,399.74966,0.12054,38.23526,2.97162
246,0.41006,403.43781,0.12103,38.58802,2.96994
247,0.41163,406.44696,0.12149,38.87584,2.96837
248,0.41337,410.28513,0.12201,39.24296,2.96663
249,0.415,413.91751,0.12249,39.59039,2.965
250,0.41669,417.35745,0.12299,39.91941,2.96331
251,0.41825,420.56354,0.12345,40.22607,2.96175
252,0.42,424.42029,0.12397,40.59496,2.96
253,0.42175,428.46982,0.12448,40.98229,2.95825
254,0.42331,431.7067,0.12494,41.29189,2.95669
255,0.42506,435.67456,0.12546,41.67141,2.95494
256,0.42669,439.52628,0.12594,42.03982,2.95331
257,0.42837,442.97382,0.12644,42.36957,2.95163
258,0.43,446.6474,0.12692,42.72094,2.95
259,0.43163,450.28275,0.1274,43.06865,2.94837
260,0.43337,454.13742,0.12791,43.43734,2.94663
261,0.43506,457.97507,0.12841,43.80441,2.94494
262,0.43663,461.60031,0.12887,44.15115,2.94337
263,0.43838,465.58493,0.12939,44.53227,2.94162
264,0.44,469.35794,0.12987,44.89316,2.94
265,0.44169,473.0455,0.13037,45.24586,2.93831
266,0.44331,477.13895,0.13085,45.63739,2.93669
267,0.44506,480.89465,0.13136,45.99662,2.93494
268,0.44669,484.75082,0.13184,46.36545,2.93331
269,0.44825,488.42361,0.13231,46.71675,2.93175
270,0.45006,493.00739,0.13284,47.15518,2.92994
271,0.45162,496.53476,0.1333,47.49256,2.92838
272,0.45337,500.75714,0.13382,47.89643,2.92663
273,0.45494,504.41156,0.13428,48.24597,2.92506
274,0.45669,508.40643,0.1348,48.62807,2.92331
275,0.45838,512.52515,0.13529,49.02201,2.92162
276,0.45994,516.37341,0.13575,49.39009,2.92006
277,0.46175,520.69543,0.13629,49.80348,2.91825
278,0.46325,524.11383,0.13673,50.13045,2.91675
279,0.46506,528.78583,0.13727,50.57732,2.91494
280,0.46662,532.7312,0.13773,50.95468,2.91338
281,0.46831,536.8844,0.13823,51.35193,2.91169
282,0.47006,541.47266,0.13874,51.79079,2.90994
283,0.47156,544.95184,0.13919,52.12356,2.90844
284,0.47337,549.74017,0.13972,52.58156,2.90663
285,0.47494,553.2688,0.14018,52.91906,2.90506
286,0.47675,557.6236,0.14072,53.33559,2.90325
287,0.47825,562.08765,0.14116,53.76257,2.90175
288,0.47994,566.21552,0.14166,54.15739,2.90006
289,0.48175,570.74915,0.14219,54.59102,2.89825
290,0.48325,574.4906,0.14264,54.94888,2.89675
291,0.48506,579.39734,0.14317,55.4182,2.89494
292,0.48663,583.39874,0.14363,55.80093,2.89337
293,0.48838,588.32855,0.14415,56.27246,2.89162
294,0.48994,591.90143,0.14461,56.6142,2.89006
295,0.49163,596.1922,0.14511,57.0246,2.88837
296,0.49338,601.3905,0.14562,57.52181,2.88662
297,0.49494,605.20599,0.14609,57.88675,2.88506
298,0.49675,610.25769,0.14662,58.36994,2.88325
299,0.49831,614.32074,0.14708,58.75856,2.88169
300,0.50012,618.69977,0.14762,59.17741,2.87988
301,0.50163,622.9588,0.14806,59.58477,2.87837
302,0.50331,627.61292,0.14856,60.02993,2.87669
303,0.50506,632.42346,0.14907,60.49005,2.87494
304,0.50669,636.71277,0.14955,60.90031,2.87331
305,0.50831,641.16937,0.15003,61.32658,2.87169
306,0.51,645.83423,0.15053,61.77276,2.87
307,0.51175,650.43237,0.15105,62.21256,2.86825
308,0.51338,655.01654,0.15153,62.65103,2.86662
309,0.515,659.39056,0.15201,63.0694,2.865
310,0.51675,664.21906,0.15252,63.53123,2.86325
311,0.51838,669.07098,0.153,63.99531,2.86162
312,0.51994,673.58252,0.15346,64.42683,2.86006
313,0.52169,678.18323,0.15398,64.86688,2.85831
314,0.52331,682.58191,0.15446,65.2876,2.85669
315,0.52506,687.58478,0.15498,65.76612,2.85494
316,0.52663,692.36615,0.15544,66.22345,2.85337
317,0.52831,696.89575,0.15594,66.65669,2.85169
318,0.53006,701.77979,0.15645,67.12385,2.84994
319,0.53163,706.3186,0.15691,67.55798,2.84837
320,0.53337,711.5705,0.15743,68.06031,2.84663
321,0.53494,716.03833,0.15789,68.48764,2.84506
322,0.53669,720.87537,0.15841,68.9503,2.84331
323,0.53825,725.50879,0.15887,69.39348,2.84175
324,0.54,730.55438,0.15939,69.87607,2.84
325,0.54175,735.70178,0.1599,70.36842,2.83825
326,0.54325,739.99615,0.16035,70.77917,2.83675
327,0.54506,745.49139,0.16088,71.30478,2.83494
328,0.54663,750.18018,0.16134,71.75325,2.83337
329,0.54838,755.12372,0.16186,72.22608,2.83162
330,0.54994,759.76801,0.16232,72.6703,2.83006
331,0.55169,765.38562,0.16284,73.20762,2.82831
332,0.55338,769.85278,0.16333,73.63489,2.82662
333,0.55488,774.30585,0.16378,74.06082,2.82512
334,0.55675,780.14716,0.16433,74.61952,2.82325
335,0.55825,784.67065,0.16477,75.05219,2.82175
336,0.56006,790.25665,0.16531,75.58648,2.81994
337,0.56163,794.67834,0.16577,76.00941,2.81837
338,0.56331,800.0752,0.16627,76.52561,2.81669
339,0.56506,805.36304,0.16678,77.03137,2.81494
340,0.56656,809.8822,0.16723,77.46363,2.81344
341,0.56844,815.79492,0.16778,78.02916,2.81156
342,0.56994,819.86359,0.16822,78.41832,2.81006
343,0.57175,825.75092,0.16876,78.98144,2.80825
344,0.57325,830.53662,0.1692,79.43918,2.80675
345,0.57494,835.83209,0.1697,79.94568,2.80506
346,0.57675,841.14215,0.17023,80.45357,2.80325
347,0.57825,845.96063,0.17068,80.91445,2.80175
348,0.58013,851.91095,0.17123,81.4836,2.79987
349,0.58163,856.50012,0.17167,81.92254,2.79837
350,0.58344,862.5932,0.17221,82.50533,2.79656
351,0.58494,867.31555,0.17265,82.95701,2.79506
352,0.58669,872.52643,0.17317,83.45542,2.79331
353,0.58838,877.73193,0.17366,83.95332,2.79162
354,0.59,882.5072,0.17414,84.41006,2.79
355,0.59169,888.50946,0.17464,84.98417,2.78831
356,0.59331,893.84308,0.17512,85.49432,2.78669
357,0.59506,899.23535,0.17564,86.01008,2.78494
358,0.59663,904.28412,0.1761,86.49298,2.78337
359,0.59831,909.66473,0.1766,87.00763,2.78169
360,0.60006,915.2063,0.17711,87.53767,2.77994
361,0.60169,920.51953,0.17759,88.04587,2.77831
362,0.60331,925.80811,0.17807,88.55171,2.77669
363,0.60506,931.33954,0.17859,89.08078,2.77494
364,0.60669,937.06812,0.17907,89.6287,2.77331
365,0.60837,941.81702,0.17957,90.08293,2.77163
366,0.60994,947.10675,0.18003,90.58888,2.77006
367,0.61169,952.83881,0.18055,91.13714,2.76831
368,0.61338,958.3974,0.18104,91.66881,2.76662
369,0.61494,963.57715,0.1815,92.16424,2.76506
370,0.61675,969.45837,0.18204,92.72677,2.76325
371,0.61831,974.41815,0.1825,93.20116,2.76169
372,0.62006,980.27148,0.18302,93.76102,2.75994
373,0.62163,985.48682,0.18348,94.25986,2.75837
374,0.62337,991.44269,0.18399,94.82952,2.75663
375,0.62506,996.82782,0.18449,95.3446,2.75494
376,0.62656,1001.80609,0.18494,95.82076,2.75344
377,0.62844,1008.41327,0.18549,96.45273,2.75156
378,0.62994,1012.93298,0.18593,96.88503,2.75006
379,0.63169,1019.00714,0.18645,97.46601,2.74831
380,0.63325,1024.38586,0.18691,97.98048,2.74675
381,0.635,1030.24304,0.18743,98.5407,2.745
382,0.63675,1035.92822,0.18794,99.08448,2.74325
383,0.63825,1041.2146,0.18839,99.59011,2.74175
384,0.64006,1047.36572,0.18892,100.17845,2.73994
385,0.64163,1052.60315,0.18938,100.67941,2.73837
386,0.64338,1058.40942,0.1899,101.23476,2.73662
387,0.64494,1063.3197,0.19036,101.70442,2.73506
388,0.64662,1069.35608,0.19086,102.28179,2.73338
389,0.64838,1075.67102,0.19137,102.8858,2.73162
390,0.64994,1080.74902,0.19184,103.3715,2.73006
391,0.65175,1087.23059,0.19237,103.99145,2.72825
392,0.65331,1092.07886,0.19283,104.45517,2.72669
393,0.65506,1098.4967,0.19335,105.06903,2.72494
394,0.65663,1103.65564,0.19381,105.56247,2.72337
395,0.65831,1109.92981,0.19431,106.16259,2.72169
396,0.66006,1115.47046,0.19482,106.69254,2.71994
397,0.66163,1120.59399,0.19528,107.18259,2.71837
398,0.66344,1127.12769,0.19582,107.80752,2.71656
399,0.665,1132.40466,0.19628,108.31226,2.715
400,0.66675,1138.70203,0.1968,108.91459,2.71325
401,0.66825,1143.54285,0.19724,109.3776,2.71175
402,0.67,1149.82812,0.19776,109.97878,2.71
403,0.67175,1155.73767,0.19827,110.54401,2.70825
404,0.67331,1161.00781,0.19873,111.04809,2.70669
405,0.67506,1167.31506,0.19925,111.65137,2.70494
406,0.67669,1173.04114,0.19973,112.19905,2.70331
407,0.67838,1178.92749,0.20023,112.76207,2.70162
408,0.68,1184.34277,0.20071,113.28004,2.7
409,0.68163,1190.13147,0.20119,113.83371,2.69837
410,0.68338,1196.75134,0.2017,114.46689,2.69662
411,0.68506,1202.27625,0.2022,114.99534,2.69494
412,0.68663,1207.7561,0.20266,115.51947,2.69337
413,0.68837,1214.00549,0.20318,116.11722,2.69163
414,0.69,1219.9856,0.20366,116.6892,2.69
415,0.69169,1225.76147,0.20416,117.24165,2.68831
416,0.69331,1231.30823,0.20464,117.77219,2.68669
417,0.695,1237.55066,0.20514,118.36927,2.685
418,0.69675,1243.49561,0.20565,118.93789,2.68325
419,0.69825,1248.94202,0.2061,119.45882,2.68175
420,0.70006,1255.54175,0.20663,120.09007,2.67994
421,0.70162,1260.97021,0.20709,120.6093,2.67838
422,0.70338,1267.33423,0.20761,121.218,2.67662
423,0.70494,1273.01831,0.20807,121.76167,2.67506
424,0.70663,1278.92407,0.20857,122.32655,2.67337
425,0.70838,1285.45862,0.20908,122.95157,2.67162
426,0.70994,1290.57349,0.20954,123.44079,2.67006
427,0.71175,1297.4436,0.21008,124.09791,2.66825
428,0.71331,1303.11243,0.21054,124.64011,2.66669
429,0.71506,1309.5321,0.21106,125.25415,2.66494
430,0.71663,1314.84497,0.21152,125.76231,2.66337
431,0.71831,1321.33191,0.21202,126.38277,2.66169
432,0.72006,1327.25061,0.21253,126.94889,2.65994
433,0.72156,1332.70618,0.21298,127.4707,2.65844
434,0.72338,1339.45544,0.21351,128.11625,2.65662
435,0.72494,1344.64832,0.21397,128.61294,2.65506
436,0.72675,1351.58618,0.21451,129.27653,2.65325
437,0.72825,1357.1665,0.21495,129.81029,2.65175
438,0.73,1363.55884,0.21547,130.4217,2.65
439,0.73175,1369.51538,0.21598,130.99143,2.64825
440,0.73325,1374.73584,0.21643,131.49075,2.64675
441,0.73506,1382.28735,0.21696,132.21304,2.64494
442,0.73663,1387.39087,0.21742,132.70119,2.64337
443,0.73844,1393.93286,0.21796,133.32692,2.64156
444,0.73994,1398.78308,0.2184,133.79082,2.64006
445,0.74163,1405.5896,0.2189,134.44185,2.63837
446,0.74344,1412.01331,0.21943,135.05627,2.63656
447,0.74494,1417.40491,0.21988,135.57197,2.63506
448,0.74675,1424.58813,0.22041,136.25903,2.63325
449,0.74837,1430.05676,0.22089,136.78209,2.63163
450,0.75006,1436.85645,0.22139,137.43247,2.62994
451,0.75163,1441.87195,0.22185,137.91218,2.62837
452,0.75331,1448.40698,0.22235,138.53726,2.62669
453,0.75506,1455.18054,0.22286,139.18513,2.62494
454,0.75669,1461.05811,0.22334,139.74731,2.62331
455,0.75831,1467.10254,0.22382,140.32544,2.62169
456,0.76006,1473.00305,0.22434,140.88982,2.61994
457,0.76169,1479.32166,0.22482,141.49418,2.61831
458,0.76331,1485.27246,0.2253,142.06336,2.61669
459,0.765,1491.18005,0.2258,142.62842,2.615
460,0.76669,1497.77563,0.2263,143.25927,2.61331
461,0.76837,1504.06458,0.22679,143.86079,2.61163
462,0.76994,1509.79663,0.22725,144.40905,2.61006
463,0.77175,1516.16199,0.22779,145.01789,2.60825
464,0.77331,1522.28479,0.22825,145.60352,2.60669
465,0.77506,1528.76245,0.22877,146.2231,2.60494
466,0.77662,1534.10608,0.22923,146.73421,2.60338
467,0.77838,1541.11157,0.22974,147.40427,2.60162
468,0.78006,1546.99121,0.23024,147.96664,2.59994
469,0.78163,1552.51013,0.2307,148.49451,2.59837
470,0.78338,1560.08655,0.23122,149.21919,2.59662
471,0.78494,1565.7522,0.23168,149.7611,2.59506
472,0.78669,1572.46167,0.2322,150.40284,2.59331
473,0.78825,1577.62634,0.23266,150.89683,2.59175
474,0.79006,1584.40784,0.23319,151.54546,2.58994
475,0.79175,1590.69556,0.23369,152.14688,2.58825
476,0.79325,1596.18823,0.23414,152.67223,2.58675
477,0.79506,1603.27478,0.23467,153.35006,2.58494
478,0.79663,1608.53699,0.23513,153.85337,2.58337
479,0.79838,1615.28955,0.23565,154.49923,2.58162
480,0.79994,1621.20703,0.23611,155.06524,2.58006
481,0.80162,1627.60205,0.23661,155.6769,2.57838
482,0.80338,1634.04321,0.23712,156.29299,2.57662
483,0.80494,1639.08472,0.23758,156.77521,2.57506
484,0.80675,1646.6012,0.23812,157.49414,2.57325
485,0.80825,1651.55908,0.23856,157.96834,2.57175
486,0.81006,1658.95581,0.2391,158.67583,2.56994
487,0.81163,1663.90076,0.23956,159.14881,2.56837
488,0.81331,1671.38721,0.24006,159.86487,2.56669
489,0.81506,1677.65295,0.24057,160.46418,2.56494
490,0.81656,1682.9679,0.24102,160.97254,2.56344
491,0.81844,1690.67847,0.24157,161.71004,2.56156
492,0.81994,1695.20337,0.24201,162.14284,2.56006
493,0.82175,1702.41931,0.24255,162.83303,2.55825
494,0.82325,1707.61963,0.24299,163.33044,2.55675
495,0.825,1714.52466,0.24351,163.99089,2.555
496,0.82675,1721.11987,0.24402,164.6217,2.55325
497,0.82825,1726.31482,0.24447,165.11859,2.55175
498,0.83006,1733.7887,0.245,165.83344,2.54994
499,0.83163,1739.02136,0.24546,166.33394,2.54837
500,0.83344,1746.66455,0.246,167.06499,2.54656
501,0.83494,1751.58496,0.24644,167.53562,2.54506
502,0.83669,1758.5769,0.24696,168.2044,2.54331
503,0.83837,1764.84851,0.24745,168.80426,2.54163
504,0.84,1770.75708,0.24793,169.3694,2.54
505,0.84169,1777.01978,0.24843,169.96841,2.53831
506,0.84331,1783.19714,0.24891,170.55927,2.53669
507,0.84506,1790.14429,0.24943,171.22374,2.53494
508,0.84662,1795.71082,0.24989,171.75618,2.53338
509,0.84831,1801.56104,0.25039,172.31573,2.53169
510,0.85006,1808.30432,0.2509,172.96071,2.52994
511,0.85169,1814.32446,0.25138,173.53654,2.52831
512,0.85331,1820.18079,0.25186,174.09667,2.52669
513,0.85506,1826.97217,0.25238,174.74626,2.52494
514,0.85669,1832.79175,0.25286,175.30289,2.52331
